id,scr_portcall_id,scr_portcall_type,pilotage_cst_dt_time,pilotage_nm,pilotage_imo,pilotage_snapshot_dt,pilotage_end_dt_time,pilotage_arrival_dt_time,pilotage_loc_from_code,pilotage_loc_to_code,pilotage_start_dt_time,pilotage_onboard_dt_time,created_at,updated_at
311288,NA,NA,2024-08-20T01:30:00Z,BOSTON TRADER,9282168,2024-08-20T00:55:01Z,NA,2024-08-20T00:35:00Z,P40,B04,NA,2024-08-20T00:40:00Z,2024-08-20T00:55:19Z,2024-08-20T00:55:19Z
329807,NA,NA,2024-08-26T02:00:00Z,HAI SOON 2,9608051,2024-08-25T16:55:01Z,NA,NA,OE5,DGA,NA,NA,2024-08-25T16:55:15Z,2024-08-25T16:55:15Z
39076,NA,NA,2024-05-28T00:30:00Z,YOU SHEN 9,9425069,2024-05-27T15:25:01Z,NA,NA,PWBGA,ASSPU,NA,NA,2024-05-27T15:25:15Z,2024-05-27T15:25:15Z
169400,NA,NA,2024-07-06T09:30:00Z,SEASPAN LINGUE,9443475,2024-07-06T05:55:01Z,NA,NA,PWBGA,P10,NA,NA,2024-07-06T05:55:21Z,2024-07-06T05:55:21Z
71870,NA,NA,2024-06-06T18:00:00Z,HAFNIA ADAMITE,9727546,2024-06-06T18:55:01Z,NA,2024-06-06T18:30:00Z,AESPA,SEAE,2024-06-06T18:40:00Z,2024-06-06T18:40:00Z,2024-06-06T18:55:20Z,2024-06-06T18:55:20Z
12888,NA,NA,2024-05-19T10:00:00Z,STOLT STRENGTH,9311024,2024-05-19T10:25:01Z,NA,2024-05-19T10:05:00Z,PWBGA,ASSPU,2024-05-19T10:20:00Z,2024-05-19T10:15:00Z,2024-05-19T10:25:19Z,2024-05-19T10:25:19Z
72807,NA,NA,2024-06-09T05:30:00Z,CMA CGM DON PASCUALE,9318101,2024-06-07T02:25:01Z,NA,NA,P37,SEAE,NA,NA,2024-06-07T02:25:17Z,2024-06-07T02:25:17Z
50202,NA,NA,2024-06-01T19:00:00Z,INTERASIA MOMENTUM,9400825,2024-05-31T08:55:01Z,NA,NA,PEBGA,B05,NA,NA,2024-05-31T08:55:14Z,2024-05-31T08:55:14Z
358505,NA,NA,2024-09-05T15:00:00Z,BALTIC WEST,9409041,2024-09-03T07:25:01Z,NA,NA,B05,SEAE,NA,NA,2024-09-03T07:25:11Z,2024-09-03T07:25:11Z
193100,NA,NA,2024-07-15T08:00:00Z,STRAITS JUBILANT,9429338,2024-07-15T04:55:01Z,NA,NA,ASPLU,OTS9,NA,NA,2024-07-15T04:55:17Z,2024-07-15T04:55:17Z
294289,NA,NA,2024-08-14T23:00:00Z,KINISIS,9785158,2024-08-14T22:55:01Z,NA,NA,ASSPU,OSLN3,NA,NA,2024-08-14T22:55:21Z,2024-08-14T22:55:21Z
37254,NA,NA,2024-05-26T20:00:00Z,CALA PAGURO,9412787,2024-05-26T20:25:01Z,2024-05-26T20:00:00Z,2024-05-26T19:10:00Z,AEW,SEAW,2024-05-26T19:15:00Z,2024-05-26T19:10:00Z,2024-05-26T20:25:16Z,2024-05-26T20:25:16Z
177702,NA,NA,2024-07-08T17:30:00Z,DAIWAN MIRACLE,9796547,2024-07-08T16:25:01Z,NA,NA,PEBGA,AEW,NA,NA,2024-07-08T16:25:23Z,2024-07-08T16:25:23Z
197545,NA,NA,2024-07-16T09:00:00Z,HAMMONIA BEROLINA,9336177,2024-07-16T09:55:01Z,NA,2024-07-16T09:15:00Z,AEW,SEAE,2024-07-16T09:25:00Z,2024-07-16T09:15:00Z,2024-07-16T09:55:19Z,2024-07-16T09:55:19Z
333564,NA,NA,2024-08-26T23:00:00Z,MCC DANANG,9823742,2024-08-26T22:55:01Z,NA,2024-08-26T22:40:00Z,PWBGA,P10,NA,NA,2024-08-26T22:55:16Z,2024-08-26T22:55:16Z
63771,NA,NA,2024-06-04T08:00:00Z,KARADENIZ POWERSHIP ONUR SULTAN,9047441,2024-06-04T08:55:02Z,NA,2024-06-04T07:10:00Z,PJSB,ACGP,2024-06-04T08:15:00Z,2024-06-04T08:15:00Z,2024-06-04T08:55:16Z,2024-06-04T08:55:16Z
178838,NA,NA,2024-07-09T01:00:00Z,VS87,9256999,2024-07-09T01:25:01Z,NA,2024-07-09T00:55:00Z,AEBC,SEAW,2024-07-09T01:00:00Z,2024-07-09T00:55:00Z,2024-07-09T01:25:17Z,2024-07-09T01:25:17Z
304527,NA,NA,2024-08-20T16:30:00Z,MSC AUDREY,9540065,2024-08-17T23:55:02Z,NA,NA,T206,SEAE,NA,NA,2024-08-17T23:55:15Z,2024-08-17T23:55:15Z
7983,NA,NA,2024-05-18T03:15:00Z,LOWLANDS CORSO,9959450,2024-05-17T21:55:01Z,NA,NA,PEBGA,K23,NA,NA,2024-05-17T21:55:16Z,2024-05-17T21:55:16Z
125114,NA,NA,2024-06-23T05:00:00Z,WAN HAI A08,9555101,2024-06-23T00:25:01Z,NA,NA,P24,SEAW,NA,NA,2024-06-23T00:25:16Z,2024-06-23T00:25:16Z
362705,NA,NA,2024-09-05T02:15:00Z,FRONT NAUSTA,9845714,2024-09-04T10:25:01Z,NA,NA,PEBGC,AEPA,NA,NA,2024-09-04T10:25:11Z,2024-09-04T10:25:11Z
357093,NA,NA,2024-09-03T06:30:00Z,VIRA BHUM,9293246,2024-09-03T00:25:01Z,NA,NA,AWH,P40,NA,NA,2024-09-03T00:25:05Z,2024-09-03T00:25:05Z
80500,NA,NA,2024-06-09T17:15:00Z,GREAT WALRUS,9450179,2024-06-09T10:25:01Z,NA,NA,PEBGC,AWPA,NA,NA,2024-06-09T10:25:18Z,2024-06-09T10:25:18Z
114298,NA,NA,2024-06-19T15:55:00Z,AP SLANO,9556404,2024-06-19T16:55:01Z,2024-06-19T16:20:00Z,2024-06-19T15:30:00Z,AEBB,SEAE,2024-06-19T15:45:00Z,2024-06-19T15:35:00Z,2024-06-19T16:55:19Z,2024-06-19T16:55:19Z
37781,NA,NA,2024-05-27T00:30:00Z,BOW CAPRICORN,9752010,2024-05-27T00:25:01Z,NA,2024-05-27T00:05:00Z,ASSPU,OTK10,NA,NA,2024-05-27T00:25:15Z,2024-05-27T00:25:15Z
179223,NA,NA,2024-07-09T08:00:00Z,BLAAMANEN,9278662,2024-07-09T03:25:01Z,NA,NA,PGBG,ASSPU,NA,NA,2024-07-09T03:25:23Z,2024-07-09T03:25:23Z
